ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000168785	TSPAN5	-3.15323858171857	-1.5167606020857	0.119717377547168	0.0692811686176811	21.464694973619	2.18273347326605e-05	0.834953087169559	1.77226524869336	90.6823739985214	10.7323474868095	0.619605497466166	1	0.207884737606459	3
ENSG00000092421	SEMA6A	-0.10019630443761	1.25531261285528	2.61082153014817	0.0695104390564062	399.187075102784	2.07791614693807e-87	0.691598890584201	1.4223043527248	99.4989817745264	199.593537551392	0.620316358390179	1	0.20738676588499	3
ENSG00000143353	LYPLAL1	-0.0444168950340368	0.559061045951287	1.16253898693661	0.0694152296476055	34.2449475928859	3.66272332102958e-08	0.307902566447894	0.247904706151146	94.1597224099257	17.1224737964429	0.620316358390179	1	0.20738676588499	3
ENSG00000148700	ADD3	-0.446969456850694	5.58661527536372	11.6202000075781	0.0695593600926107	45.3544307198745	1.4171326505791e-10	3.07841612387093	26.7671382497995	95.5902875016716	22.6772153599373	0.620316358390179	1	0.20738676588499	3
ENSG00000038219	BOD1L1	-0.12846520027886	1.58202708970825	3.29251937969536	0.0698684746564245	104.809090383647	1.74178760846646e-23	0.872716184317292	2.18696138775796	98.0917685740052	52.4045451918233	0.621175122420183	1	0.206785945750924	3
ENSG00000117519	CNN3	-0.270985000088066	3.24384290194604	6.75867080398014	0.0704734784395469	202.222631146998	1.22437256168676e-44	1.79331249439205	9.54562283439899	99.010991010919	101.111315573499	0.622117197101026	1	0.206127793348132	3
ENSG00000198039	ZNF273	-6.38762418004375	-3.06513937535662	0.257345429330511	0.0705826015418044	2056.53235426675	0	1.69517645777905	8.60226798109871	99.9027489163567	1028.26617713337	0.622117197101026	1	0.206127793348132	3
ENSG00000110651	CD81	-0.0874893652206796	1.03582446164216	2.159138288505	0.0707136349412291	200.421514323495	3.01315267210244e-44	0.573129830814951	0.969204679450903	99.0021031391012	100.210757161748	0.622573481168694	1	0.205809382251937	3
ENSG00000136448	NMT1	-0.140383851917688	1.6462611848154	3.43290622154849	0.0709243114837297	179.717320808662	9.43799265843275e-40	0.911570340488864	2.45383964658114	98.8871412109858	89.8586604043311	0.623215826992307	1	0.205361525989947	3
ENSG00000137269	LRRC1	-0.10441651012751	1.20650734666067	2.51743120344884	0.0712547117397746	95.265068193534	2.05803749441816e-21	0.668850992736896	1.28153487824161	97.9005945852713	47.632534096767	0.624905663164845	1	0.20418553955071	3
ENSG00000145348	TBCK	-0.0685780452015673	0.782105402698172	1.63278885059791	0.071551537135319	11.7845744299508	0.00276065525837733	0.43403014270151	0.374406572582574	83.0286616467291	5.8922872149754	0.625679725430526	1	0.203647917703165	3
ENSG00000157617	C2CD2	-0.152784819524971	1.74078448300361	3.63435378553219	0.0715734099582798	317.277948221335	1.27048320682457e-69	0.966124539769513	2.76822951488106	99.3696378802208	158.638974110667	0.625679725430526	1	0.203647917703165	3
ENSG00000171798	KNDC1	-4.29815382497659	-2.05771638253983	0.182721059896927	0.0718421325327932	192.446572970893	1.62464189681169e-42	1.14310133252909	3.80391261799217	98.9607505246131	96.2232864854463	0.626817989244987	1	0.202858548071791	3
ENSG00000101605	MYOM1	-0.0689152376925287	0.742555539442137	1.5540263165768	0.0728911846684769	93.259159232499	5.61087869068684e-21	0.414023310395213	0.489661770670413	97.8554385258676	46.6295796162495	0.627924060963135	1	0.202092875209986	3
