gene	sig.nft.up	sig.plaq.up	sig.plaq.dw	sig.nft.dw	ntest	nft.resid	nft	plaq_n	dir	set
LSAMP	0	0	3	1	6	-0.000577173896993619	-0.00166600657450851	-0.00250947863613141	Plaque	Opc_Opc
SYNDIG1	0	0	3	1	5	-0.000560171367885691	-0.0047190428658126	-0.0062235337800681	Plaque	Opc_Opc
EPB41L4A	0	0	4	2	6	-0.000524838593234361	-0.00259318377396106	-0.0051546149108541	Plaque	Opc_Opc
NSMAF	0	0	3	0	6	-0.000499056214674613	-0.00157719019296456	-0.00171410964435678	Plaque	Opc_Opc
DCBLD2	0	0	3	2	6	-0.000491419531852933	-0.00265032364424044	-0.00467808589749953	Plaque	Opc_Opc
CUX1	0	0	3	0	6	-0.000489144280717074	-0.00182795715901119	-0.00275057816983073	Plaque	Opc_Opc
RALGPS1	0	0	3	2	6	-0.00045425722057168	-0.00196208898467479	-0.00297802337251873	Plaque	Opc_Opc
ZMYND8	1	4	0	0	6	-0.000437280292888008	0.00265538913264144	0.00458088241846824	Plaque	Opc_Opc
ECHDC1	0	0	3	2	6	-0.000418485217497037	-0.00245101305921812	-0.00398532251745061	Plaque	Opc_Opc
GPR173	0	0	3	1	6	-0.000396110305611414	-0.0024041401746527	-0.00382609232107775	Plaque	Opc_Opc
KHDRBS3	1	3	0	0	6	-0.00038051054808953	0.00248497949130946	0.00317679125062814	Plaque	Opc_Opc
NUP160	0	0	3	1	6	-0.000370951877295705	-0.0017529153731035	-0.00244745955801331	Plaque	Opc_Opc
ABLIM3	0	0	3	2	6	-0.00036594507152225	-0.00280000814736651	-0.00506919892664338	Plaque	Opc_Opc
TMCO1	0	3	0	0	6	-0.00035832003952137	0.0019178533815024	0.00310279827499347	Plaque	Opc_Opc
CBFA2T2	0	0	3	2	6	-0.000347784365379743	-0.00182256520533794	-0.00301440890250855	Plaque	Opc_Opc
CACNG4	0	0	3	2	6	-0.000343591747806877	-0.00237729336402919	-0.00377839319365211	Plaque	Opc_Opc
SGSM1	0	0	3	1	6	-0.000327655029145047	-0.00325743668225871	-0.00509340155051228	Plaque	Opc_Opc
ARHGEF11	0	0	3	1	6	-0.000323392851215475	-0.00186379364420628	-0.00299239977488958	Plaque	Opc_Opc
TNKS	2	3	0	0	6	-0.000308210905328047	0.00108505412848481	0.00191248286058575	Plaque	Opc_Opc
WDPCP	0	0	3	1	6	-0.000303574449480622	-0.00175419491949803	-0.00238874674388461	Plaque	Opc_Opc
GRIK4	0	0	4	2	6	-0.000299339505430642	-0.00353244609007546	-0.00556587430791577	Plaque	Opc_Opc
ATP6V0A1	0	0	3	2	6	-0.000292766982485059	-0.00227428742672035	-0.00370329770270594	Plaque	Opc_Opc
MALT1	0	0	4	1	6	-0.00025187560800644	-0.00282710242646171	-0.00532088414808813	Plaque	Opc_Opc
PDE8A	0	0	4	2	6	-0.000236910546819477	-0.0024262675749343	-0.00404192891505357	Plaque	Opc_Opc
LRRFIP2	0	0	4	2	6	-0.000173198829005152	-0.00247538356568633	-0.00493049388657807	Plaque	Opc_Opc
EYA3	0	0	3	1	6	-0.000169714711041986	-0.00126740766235943	-0.00193001222824049	Plaque	Opc_Opc
MAPKAP1	0	0	3	2	6	-0.000155328747039941	-0.00190248874453418	-0.00381335079604628	Plaque	Opc_Opc
SNRK	0	0	3	2	6	-0.000122799740156821	-0.00229005574516764	-0.00537019112489095	Plaque	Opc_Opc
SKP1	2	3	0	0	6	-0.000109418179098823	0.0024526902917342	0.00380869547782395	Plaque	Opc_Opc
MICAL3	0	0	3	0	6	-0.000104269288856363	-0.00126440357360868	-0.00202903351645052	Plaque	Opc_Opc
USP37	0	0	3	1	6	-0.000088650699182405	-0.00129445325436655	-0.0016211738541247	Plaque	Opc_Opc
ARID2	1	3	0	0	6	-0.0000808736009493565	0.00112646347096017	0.00130064461031482	Plaque	Opc_Opc
EPN2	0	0	4	1	6	-0.0000738789280527532	-0.00236516878041862	-0.00487567297100734	Plaque	Opc_Opc
KIAA1958	1	3	0	0	6	-0.0000732784030692774	0.00266785074451129	0.00329564745496963	Plaque	Opc_Opc
DPF3	0	0	5	2	6	-0.0000456572150845547	-0.00338583005483674	-0.00660919759276559	Plaque	Opc_Opc
BACE1	0	0	4	2	6	-0.0000305287990227346	-0.00264355238556452	-0.00453512756447182	Plaque	Opc_Opc
SUCLA2	0	0	3	2	6	-0.0000143669840084239	-0.00144419162818136	-0.00241582043391588	Plaque	Opc_Opc
UBE3A	0	0	3	2	6	0.00000622178811504362	-0.00133024372480231	-0.00313990959817327	Plaque	Opc_Opc
ATP9B	0	0	3	2	6	0.0000102191859003129	-0.00136010625626591	-0.00299993239335513	Plaque	Opc_Opc
CAPS2	2	3	0	0	6	0.0000458895618973044	0.00222381782489588	0.00279315432074947	Plaque	Opc_Opc
HNRNPD	0	0	3	1	6	0.0000501034582381101	-0.0013767066894134	-0.00258415968543677	Plaque	Opc_Opc
PTPN9	0	0	3	1	6	0.0000504999900470803	-0.00217927490204692	-0.0043006039089042	Plaque	Opc_Opc
FGF14	0	3	0	0	6	0.0000963774646689657	0.00215148269072147	0.00280708447838859	Plaque	Opc_Opc
NBPF12	1	3	0	0	6	0.0000999225422720826	0.00287387844743923	0.0034028247576961	Plaque	Opc_Opc
FAM49B	0	0	4	2	6	0.000105816247009011	-0.00138923426868216	-0.00303240619745542	Plaque	Opc_Opc
ACOT7	0	0	5	2	6	0.000107573862059746	-0.00406297098123372	-0.00776827297830261	Plaque	Opc_Opc
ZNF44	0	0	5	1	6	0.000108342656929934	-0.0033132919776282	-0.00589712478203214	Plaque	Opc_Opc
RBBP6	2	3	0	0	6	0.0001283345429966	0.00135765037609128	0.00117537123243066	Plaque	Opc_Opc
CAPN2	2	4	0	0	6	0.000135362039580568	0.00298374886592656	0.0043587992019791	Plaque	Opc_Opc
SMC6	2	5	0	0	6	0.00015323413768321	0.00373178406302677	0.00440676624522903	Plaque	Opc_Opc
GTF2H1	0	0	3	2	6	0.000159876944679154	-0.00173932606170001	-0.0038140697813704	Plaque	Opc_Opc
SEPT2	0	0	3	2	6	0.000193339365873103	-0.00170076089461489	-0.00375575072872554	Plaque	Opc_Opc
SFSWAP	2	3	0	0	6	0.000196297136521487	0.00114382867931667	0.000617983870858938	Plaque	Opc_Opc
TSEN15	0	3	0	0	6	0.000206807751285117	0.00302505814129197	0.00326622309617218	Plaque	Opc_Opc
GOLIM4	1	3	0	0	6	0.000242853029853173	0.00195633866063014	0.0017504716321118	Plaque	Opc_Opc
DAAM1	0	0	4	2	6	0.000278432803048405	-0.00218665605694174	-0.00406719921398307	Plaque	Opc_Opc
FLOT1	1	3	0	0	6	0.000278767304539591	0.0028217081071635	0.00315422372316851	Plaque	Opc_Opc
FAM120B	0	0	4	0	6	0.000287233124641252	-0.00143526421796094	-0.00288393119301574	Plaque	Opc_Opc
ZNF518A	0	0	3	1	6	0.000291968982929705	-0.00127163560906557	-0.00313321347093195	Plaque	Opc_Opc
ANK2	1	3	0	0	6	0.000296795161048139	0.00158454184862205	0.00164532391296395	Plaque	Opc_Opc
STOX2	0	0	3	2	6	0.000302398191498124	-0.00240434241845562	-0.00465622312344775	Plaque	Opc_Opc
QTRT1	0	0	3	0	6	0.000313067061854483	-0.00209873379170246	-0.00285208558911684	Plaque	Opc_Opc
THOC1	0	0	3	0	6	0.000355656133181598	-0.000767240722422307	-0.00207597757594001	Plaque	Opc_Opc
FAM13C	2	3	0	0	6	0.000372427812634854	0.00565289409706024	0.00863895941887271	Plaque	Opc_Opc
WIPF2	0	0	3	2	6	0.000418545708169322	-0.00130717346590216	-0.00255087598043355	Plaque	Opc_Opc
TOB2	2	3	0	0	6	0.000423407964002506	0.00254356204249283	0.00237642761068753	Plaque	Opc_Opc
TMEM132D	0	0	4	2	6	0.000444305700690378	-0.00165914105341959	-0.00327416506964442	Plaque	Opc_Opc
EVL	0	0	3	0	6	0.000449288467571835	-0.00105586869409757	-0.00315811547431574	Plaque	Opc_Opc
DPP8	0	0	3	0	6	0.000454545087379959	-0.00095019313907879	-0.00362954481207681	Plaque	Opc_Opc
CCDC57	0	0	3	0	5	0.000456703069236662	-0.00155175868371679	-0.00333662997845367	Plaque	Opc_Opc
CLSTN2	0	0	3	1	6	0.000468919666828887	-0.00476803180088304	-0.00876053474305709	Plaque	Opc_Opc
KLRC4-KLRK1	0	0	3	0	6	0.000469882695119511	-0.00262441479874608	-0.00680177379161465	Plaque	Opc_Opc
DENND6A	0	0	3	2	6	0.000525828381711128	-0.00160901377427423	-0.00455209253274432	Plaque	Opc_Opc
ETS1	0	0	3	1	6	0.000536310693467663	-0.00206319764810834	-0.00554597870448394	Plaque	Opc_Opc
KLHL28	0	0	3	1	6	0.000553377324967508	-0.00087000743521236	-0.00262008818915719	Plaque	Opc_Opc
OLFM2	0	0	3	2	6	0.000571214741896299	-0.00138353392291414	-0.00411608724755333	Plaque	Opc_Opc
CACHD1	0	0	3	0	6	0.000573687799380568	-0.00133362326153069	-0.00340187764026503	Plaque	Opc_Opc
TBC1D5	1	3	0	0	6	0.000584725605854081	0.00171785308306146	0.00136556108293106	Plaque	Opc_Opc
MAP4K4	0	0	4	0	6	0.000586007181881804	-0.00143059712744257	-0.00417660923945269	Plaque	Opc_Opc
GPCPD1	0	0	5	2	6	0.000591961236500859	-0.00514723461196273	-0.00973388668726823	Plaque	Opc_Opc
USP48	0	0	3	0	6	0.000592236307096035	-0.000882776977618694	-0.00386888645587985	Plaque	Opc_Opc
ZNF365	2	3	0	0	6	0.000608623655726172	0.00424044029489521	0.00460912112678589	Plaque	Opc_Opc
CREB3L2	0	0	4	2	6	0.00064361218821451	-0.0016453108943052	-0.00479055535586054	Plaque	Opc_Opc
CERS4	0	0	3	0	6	0.000648908624289594	-0.000966694543185955	-0.00254804862753236	Plaque	Opc_Opc
KMT5B	0	0	3	1	6	0.00065201524901669	-0.00099313233218472	-0.00368431445162209	Plaque	Opc_Opc
SPATA6	0	0	3	1	6	0.000684939288760379	-0.00150719331540367	-0.00365538776399128	Plaque	Opc_Opc
TLE1	2	3	0	0	6	0.000786375739291666	0.00566088299794969	0.00679877101352244	Plaque	Opc_Opc
SLC8A3	0	0	3	2	6	0.000862721518465217	-0.00202324272931184	-0.00476254736524337	Plaque	Opc_Opc
ADGRA3	0	0	3	1	6	0.000887077826013477	-0.00110056170625213	-0.00411085612254872	Plaque	Opc_Opc
SCN8A	0	0	3	2	6	0.000891285527196138	-0.00117948881953013	-0.00403533908135298	Plaque	Opc_Opc
EPB41L1	0	0	3	1	6	0.000912438827597939	-0.00202999300077004	-0.00541970727088327	Plaque	Opc_Opc
XKR6	0	0	3	2	6	0.000913930994780246	-0.00104497316724586	-0.00496849363040038	Plaque	Opc_Opc
SHC3	0	0	3	2	6	0.000915931985460261	-0.00162298781153688	-0.00505451420861435	Plaque	Opc_Opc
UBAP1	0	0	3	1	6	0.000938697421892826	-0.000850445676578784	-0.00267817360116761	Plaque	Opc_Opc
ANKS1B	0	0	6	1	6	0.000943599190153275	-0.00149827925666224	-0.00530287609576537	Plaque	Opc_Opc
AP3B2	0	0	4	2	6	0.000947214622064628	-0.00277121427647225	-0.00655952054761864	Plaque	Opc_Opc
ZNF337	0	0	4	1	6	0.000951924498468851	-0.00148439828827066	-0.00378343923970177	Plaque	Opc_Opc
KRCC1	2	3	0	0	6	0.00101930773455024	0.00293833762301868	0.0023688266946066	Plaque	Opc_Opc
ABCA2	2	3	0	0	6	0.00106346516783623	0.00303176611383163	0.0048047269893002	Plaque	Opc_Opc
RARS	0	0	3	2	6	0.00106847313034144	-0.000917814997163265	-0.00365475930076421	Plaque	Opc_Opc
